num,user_id,register_dt,LTV,is_churn,channel,cost_of_utilization
1577,13922,2020-04-04,573.2700644000208,0,Поиск,42.67299355999791
1866,14211,2020-04-20,597.4548899214519,0,Контекстная реклама,684.3266871335318
3595,15940,2020-08-03,543.5541812297795,1,Контекстная реклама,775.9578919093749
3311,15656,2020-07-17,546.8733677463024,1,Контекстная реклама,770.3152748312858
1243,13588,2020-03-14,595.985310250715,1,Email рассылка,202.0073448746425
1142,13487,2020-03-07,598.6364971070068,1,Email рассылка,200.68175144649658
1408,13753,2020-03-24,596.6639736105931,1,ТВ,2016.6801319470344
1737,14082,2020-04-13,599.2927651482462,0,Поиск,40.070723485175385
419,12764,2020-01-25,598.913435557809,0,Контекстная реклама,681.8471595517249
274,12619,2020-01-17,620.7138478206143,0,Контекстная реклама,644.7864587049556
460,12805,2020-01-28,611.8181583398177,0,Контекстная реклама,659.9091308223097
1563,13908,2020-04-03,585.5293078165665,0,Email рассылка,207.23534609171674
2091,14436,2020-05-04,598.2988717826195,1,Email рассылка,200.8505641086903
3192,15537,2020-07-09,576.2207472440516,1,ТВ,2118.896263779742
2173,14518,2020-05-09,592.472551696897,1,Поиск,40.752744830310306
300,12645,2020-01-18,619.8959773723184,0,Контекстная реклама,646.1768384670586
1259,13604,2020-03-15,592.7529896014216,0,Контекстная реклама,692.3199176775831
555,12900,2020-02-02,578.9099147913537,1,Контекстная реклама,715.8531448546988
1237,13582,2020-03-13,615.4807603082043,1,Email рассылка,192.25961984589787
2312,14657,2020-05-18,577.1435166937363,0,Email рассылка,211.42824165313183
271,12616,2020-01-17,626.6352652699554,0,ТВ,1866.8236736502229
2936,15281,2020-06-23,594.1763471101692,1,Поиск,40.58236528898307
2189,14534,2020-05-10,578.7744062022525,0,Контекстная реклама,716.0835094561706
3544,15889,2020-07-30,554.5679143882218,0,Контекстная реклама,757.234545540023
244,12589,2020-01-15,598.9943930116519,0,Контекстная реклама,681.7095318801918
2461,14806,2020-05-26,556.7301851951939,0,Email рассылка,221.63490740240303
2138,14483,2020-05-07,600.2044333798842,0,Email рассылка,199.8977833100579
407,12752,2020-01-24,614.6035415141394,0,ТВ,1926.9822924293035
2997,15342,2020-06-27,591.254815409736,0,Поиск,40.874518459026405
821,13166,2020-02-18,597.0896912762244,1,Контекстная реклама,684.9475248304186
2672,15017,2020-06-08,577.5894249853341,0,Контекстная реклама,718.0979775249319
1557,13902,2020-04-02,606.182528821163,1,Контекстная реклама,669.4897010040228
1350,13695,2020-03-21,578.5334938666468,0,Email рассылка,210.73325306667658
1480,13825,2020-03-28,566.6301087473033,1,Email рассылка,216.68494562634834
1044,13389,2020-03-02,597.8567708344535,1,ТВ,2010.7161458277321
3705,16050,2020-08-09,565.7439951096396,1,Поиск,43.42560048903603
906,13251,2020-02-23,592.7326244281329,0,Контекстная реклама,692.354538472174
1409,13754,2020-03-24,579.6144004919734,1,Контекстная реклама,714.6555191636453
3459,15804,2020-07-25,579.7033012081179,1,Контекстная реклама,714.5043879461996
1630,13975,2020-04-07,569.622774951406,0,Email рассылка,215.188612524297
1939,14284,2020-04-25,574.8774696064504,0,Email рассылка,212.5612651967748
1029,13374,2020-03-01,597.3949918080384,0,ТВ,2013.025040959808
1022,13367,2020-03-01,613.1538266182869,0,Поиск,38.684617338171314
1596,13941,2020-04-05,580.3676674853891,1,Контекстная реклама,713.3749652748386
1539,13884,2020-04-01,605.1629402628871,0,Контекстная реклама,671.223001553092
1843,14188,2020-04-19,588.2285080238413,1,Контекстная реклама,700.0115363594698
365,12710,2020-01-22,590.4846310263956,0,Email рассылка,204.7576844868022
461,12806,2020-01-28,617.6432223846115,0,Email рассылка,191.17838880769426
2960,15305,2020-06-25,587.5830833290381,1,ТВ,2062.084583354809
2664,15009,2020-06-07,558.3327861152277,1,Поиск,44.166721388477235
1588,13933,2020-04-04,574.7074222325075,0,Контекстная реклама,722.9973822047373
1517,13862,2020-03-31,587.7964911938557,1,Контекстная реклама,700.7459649704454
3736,16081,2020-08-11,553.6064607471586,1,Контекстная реклама,758.8690167298304
2729,15074,2020-06-11,562.6562073135711,1,Email рассылка,218.67189634321443
1649,13994,2020-04-08,610.0690845331869,1,Email рассылка,194.96545773340654
935,13280,2020-02-25,584.283478538048,1,ТВ,2078.5826073097596
3356,15701,2020-07-19,568.5163849572562,0,Поиск,43.148361504274376
743,13088,2020-02-14,614.2685541431879,1,Контекстная реклама,655.7434579565805
132,12477,2020-01-08,609.7874297618132,0,Контекстная реклама,663.3613694049176
3471,15816,2020-07-26,586.390149007384,1,Контекстная реклама,703.1367466874472
1176,13521,2020-03-10,618.3918018219606,0,Email рассылка,190.8040990890197
1009,13354,2020-02-29,591.3219029657191,1,Email рассылка,204.3390485171404
1627,13972,2020-04-07,582.8296502451518,0,ТВ,2085.851748774241
1981,14326,2020-04-27,567.7406996635391,1,Поиск,43.225930033646094
731,13076,2020-02-13,601.3457373340499,1,Контекстная реклама,677.7122465321152
1233,13578,2020-03-13,605.2651354180165,1,Контекстная реклама,671.0492697893719
2370,14715,2020-05-21,598.6480987555613,1,Контекстная реклама,682.2982321155459
2388,14733,2020-05-22,583.4283943692253,1,Email рассылка,208.2858028153873
3487,15832,2020-07-27,548.6930788649195,1,Email рассылка,225.65346056754024
688,13033,2020-02-10,595.6988938308233,1,ТВ,2021.5055308458836
1188,13533,2020-03-10,597.9880489571212,0,Поиск,40.20119510428788
2879,15224,2020-06-20,589.9298466264108,0,Контекстная реклама,697.1192607351014
3760,16105,2020-08-12,564.2433833037426,1,Контекстная реклама,740.7862483836376
1438,13783,2020-03-26,588.9727005278769,1,Контекстная реклама,698.7464091026094
2319,14664,2020-05-18,558.8201812341173,0,Email рассылка,220.58990938294136
8,12353,2020-01-01,629.3996704896864,0,Email рассылка,185.3001647551568
2117,14462,2020-05-06,602.4707752949239,0,ТВ,1987.6461235253803
192,12537,2020-01-12,615.2406871655683,0,Поиск,38.47593128344318
1376,13721,2020-03-22,567.4981729176966,1,Контекстная реклама,735.2531060399157
2031,14376,2020-04-30,608.2718359087473,0,Контекстная реклама,665.9378789551295
1267,13612,2020-03-15,606.483777164151,1,Контекстная реклама,668.9775788209434
2142,14487,2020-05-07,593.6764901517186,1,Email рассылка,203.1617549241407
746,13091,2020-02-14,580.6824255543788,0,Email рассылка,209.65878722281062
2441,14786,2020-05-25,564.1794054219599,1,ТВ,2179.1029728902004
502,12847,2020-01-30,594.36204685346,0,Поиск,40.563795314654
879,13224,2020-02-22,606.2267768657365,0,Контекстная реклама,669.4144793282479
2265,14610,2020-05-15,580.4179454411036,0,Контекстная реклама,713.2894927501238
2226,14571,2020-05-12,593.2885221020965,1,Контекстная реклама,691.409512426436
1869,14214,2020-04-21,606.5208078762619,1,Email рассылка,196.73959606186904
2891,15236,2020-06-21,551.244376343187,1,Email рассылка,224.3778118284065
2185,14530,2020-05-10,572.5817424027807,0,ТВ,2137.091287986096
2527,14872,2020-05-30,588.7061283438206,1,Поиск,41.12938716561793
2210,14555,2020-05-11,562.5914392983212,0,Контекстная реклама,743.5945531928539
3288,15633,2020-07-15,573.7507894436241,1,Контекстная реклама,724.6236579458391
2195,14540,2020-05-10,586.3949994855359,0,Контекстная реклама,703.1285008745889
312,12657,2020-01-19,614.5380043058412,0,Email рассылка,192.7309978470794
2991,15336,2020-06-26,589.5841129297811,1,Email рассылка,205.20794353510945
2414,14759,2020-05-24,566.1861701888206,0,ТВ,2169.069149055897
3151,15496,2020-07-07,592.5697231773207,0,Поиск,40.74302768226793
1686,14031,2020-04-10,575.0606429848241,0,Контекстная реклама,722.396906925799
89,12434,2020-01-06,610.527723705351,0,Контекстная реклама,662.1028697009032
435,12780,2020-01-26,592.2064894170046,0,Контекстная реклама,693.2489679910922
709,13054,2020-02-12,603.4016142221942,1,Email рассылка,198.29919288890292
266,12611,2020-01-16,583.5869464467079,0,Email рассылка,208.20652677664606
1969,14314,2020-04-26,576.2066128361664,0,ТВ,2118.9669358191677
828,13173,2020-02-19,619.9791549725799,0,Поиск,38.00208450274202
3252,15597,2020-07-13,579.5014757064876,0,Контекстная реклама,714.847491298971
3375,15720,2020-07-20,569.6202656808537,0,Контекстная реклама,731.6455483425489
2110,14455,2020-05-05,607.8486880687984,1,Контекстная реклама,666.6572302830426
349,12694,2020-01-21,603.6292481420112,0,Email рассылка,198.18537592899443
1385,13730,2020-03-23,569.3539071841878,0,Email рассылка,215.32304640790608
3260,15605,2020-07-14,591.582044755007,1,ТВ,2042.089776224965
2649,14994,2020-06-06,561.3160931196372,0,Поиск,43.86839068803628
1133,13478,2020-03-07,587.3863656027496,1,Контекстная реклама,701.4431784753257
2237,14582,2020-05-13,587.8279197378354,0,Контекстная реклама,700.6925364456797
289,12634,2020-01-18,600.3881290517934,0,Контекстная реклама,679.3401806119512
1670,14015,2020-04-10,585.8095281629394,0,Email рассылка,207.09523591853028
2689,15034,2020-06-09,574.4257166464873,1,Email рассылка,212.78714167675633
3057,15402,2020-07-01,583.7938948209239,1,ТВ,2081.030525895381
691,13036,2020-02-11,576.0569609829165,0,Поиск,42.39430390170835
476,12821,2020-01-29,580.3262725112384,0,Контекстная реклама,713.4453367308948
2498,14843,2020-05-28,559.3911012156507,1,Контекстная реклама,749.0351279333937
2326,14671,2020-05-18,603.4258465428071,1,Контекстная реклама,674.1760608772279
2902,15247,2020-06-21,557.0714186619482,1,Email рассылка,221.46429066902593
813,13158,2020-02-18,614.0093158406136,0,Email рассылка,192.99534207969322
2042,14387,2020-05-01,604.8599357348189,0,ТВ,1975.7003213259054
2822,15167,2020-06-17,584.1850859821047,1,Поиск,41.58149140178953
563,12908,2020-02-03,610.8073948936014,1,Контекстная реклама,661.6274286808776
2758,15103,2020-06-13,569.776985445633,1,Контекстная реклама,731.3791247424238
1128,13473,2020-03-07,576.774927916033,1,Контекстная реклама,719.482622542744
2790,15135,2020-06-15,582.7149117737387,0,Email рассылка,208.64254411313067
2571,14916,2020-06-01,567.3985463128226,1,Email рассылка,216.30072684358865
1276,13621,2020-03-16,607.9237462907909,0,ТВ,1960.381268546046
1615,13960,2020-04-06,586.4446190719084,0,Поиск,41.35553809280916
772,13117,2020-02-16,609.6000487049994,0,Контекстная реклама,663.679917201501
47,12392,2020-01-03,621.7785262789594,0,Контекстная реклама,642.976505325769
2680,15025,2020-06-08,581.227565520036,1,Контекстная реклама,711.9131386159387
2835,15180,2020-06-18,552.464008711552,1,Email рассылка,223.767995644224
2309,14654,2020-05-17,569.1208846792249,0,Email рассылка,215.43955766038758
1347,13692,2020-03-21,581.5437437695773,0,ТВ,2092.281281152114
859,13204,2020-02-21,595.377760649262,1,Поиск,40.462223935073794
2440,14785,2020-05-25,568.0476124488139,1,Контекстная реклама,734.3190588370164
216,12561,2020-01-13,616.3644597706216,0,Контекстная реклама,652.1804183899433
3535,15880,2020-07-30,583.995512486563,0,Контекстная реклама,707.2076287728428
663,13008,2020-02-09,576.3765858722148,0,Email рассылка,211.81170706389258
1131,13476,2020-03-07,607.0972470403062,0,Email рассылка,196.45137647984686
2151,14496,2020-05-08,599.0226770141081,1,ТВ,2004.8866149294595
1354,13699,2020-03-21,568.0916210566487,0,Поиск,43.19083789433513
1445,13790,2020-03-26,608.8058447905375,1,Контекстная реклама,665.030063856086
2045,14390,2020-05-01,589.724476007924,0,Контекстная реклама,697.4683907865293
331,12676,2020-01-20,583.6797235410099,0,Контекстная реклама,707.7444699802832
509,12854,2020-01-31,615.2487138568556,0,Email рассылка,192.37564307157223
1206,13551,2020-03-11,570.0072155130001,1,Email рассылка,214.99639224349994
2798,15143,2020-06-15,561.9538385055915,1,ТВ,2190.230807472042
1407,13752,2020-03-24,578.2342248309258,0,Поиск,42.17657751690743
2715,15060,2020-06-10,570.0115994303009,0,Контекстная реклама,730.9802809684885
3102,15447,2020-07-04,564.2573407502998,1,Контекстная реклама,740.7625207244904
1418,13763,2020-03-25,598.3475168586069,0,Контекстная реклама,682.8092213403683
3261,15606,2020-07-14,592.2528338580937,1,Email рассылка,203.87358307095312
2248,14593,2020-05-14,585.2333819775856,1,Email рассылка,207.38330901120716
1341,13686,2020-03-20,575.1617069191655,0,ТВ,2124.191465404173
1403,13748,2020-03-24,610.893552500477,0,Поиск,38.910644749952304
1715,14060,2020-04-12,603.2376235175662,0,Контекстная реклама,674.4960400201373
3548,15893,2020-07-30,566.3834427425007,0,Контекстная реклама,737.1481473377487
3324,15669,2020-07-18,552.4410125397003,1,Контекстная реклама,760.8502786825096
3185,15530,2020-07-09,581.6011890535665,0,Email рассылка,209.19940547321679
3033,15378,2020-06-29,581.3396545184775,0,Email рассылка,209.33017274076127
1451,13796,2020-03-27,576.4276692488688,1,ТВ,2117.861653755656
752,13097,2020-02-14,613.2691302743124,1,Поиск,38.67308697256877
2233,14578,2020-05-13,602.643227471649,1,Контекстная реклама,675.5065132981968
665,13010,2020-02-09,599.8009393851848,0,Контекстная реклама,680.3384030451857
1086,13431,2020-03-04,597.3651226256239,0,Контекстная реклама,684.4792915364393
3422,15767,2020-07-23,565.1266274857726,0,Email рассылка,217.4366862571137
479,12824,2020-01-29,592.9406423397439,0,Email рассылка,203.52967883012803
3505,15850,2020-07-28,567.5562005974257,1,ТВ,2162.2189970128716
3624,15969,2020-08-04,549.480610461276,1,Поиск,45.05193895387241
3600,15945,2020-08-03,545.5350423330613,0,Контекстная реклама,772.5904280337959
587,12932,2020-02-04,624.7577834133414,0,Контекстная реклама,637.9117681973197
2645,14990,2020-06-06,592.9170289302494,0,Контекстная реклама,692.041050818576
307,12652,2020-01-19,588.8173103185459,0,Email рассылка,205.59134484072706
2727,15072,2020-06-11,576.7894239487778,1,Email рассылка,211.60528802561115
333,12678,2020-01-20,592.056038095592,0,ТВ,2039.7198095220397
2588,14933,2020-06-03,567.0616739680725,1,Поиск,43.29383260319276
209,12554,2020-01-13,603.258724468307,0,Контекстная реклама,674.460168403878
2201,14546,2020-05-11,578.5845606294685,1,Контекстная реклама,716.4062469299037
11,12356,2020-01-01,618.2258270209139,0,Контекстная реклама,649.0160940644463
1129,13474,2020-03-07,613.9374908574157,1,Email рассылка,193.03125457129218
3400,15745,2020-07-22,569.1363941901272,0,Email рассылка,215.43180290493635
1753,14098,2020-04-14,602.0295223034377,1,ТВ,1989.8523884828112
2340,14685,2020-05-19,557.970229697766,1,Поиск,44.20297703022341
872,13217,2020-02-22,611.8970976907174,1,Контекстная реклама,659.7749339257805
1130,13475,2020-03-07,575.3705915141823,0,Контекстная реклама,721.8699944258901
2179,14524,2020-05-10,586.1662312254223,1,Контекстная реклама,703.5174069167821
2452,14797,2020-05-26,580.7052905385324,1,Email рассылка,209.6473547307338
824,13169,2020-02-19,618.1857547456216,0,Email рассылка,190.9071226271892
3163,15508,2020-07-08,547.6224096700366,0,ТВ,2261.8879516498173
3040,15385,2020-06-30,567.4752641039361,0,Поиск,43.25247358960639
2742,15087,2020-06-12,584.9050041492649,1,Контекстная реклама,705.6614929462496
1970,14315,2020-04-26,605.6264163253057,1,Контекстная реклама,670.4350922469803
1411,13756,2020-03-24,599.7678919196811,1,Контекстная реклама,680.3945837365421
3079,15424,2020-07-02,563.2944867067024,0,Email рассылка,218.35275664664877
931,13276,2020-02-25,591.8193251578239,0,Email рассылка,204.09033742108807
1817,14162,2020-04-18,576.310154578036,0,ТВ,2118.44922710982
5,12350,2020-01-01,590.1743596638881,0,Поиск,40.98256403361118
1717,14062,2020-04-12,605.0795949828002,1,Контекстная реклама,671.3646885292395
268,12613,2020-01-17,588.6338039165919,0,Контекстная реклама,699.3225333417938
3514,15859,2020-07-28,577.724813041753,1,Контекстная реклама,717.8678178290198
2170,14515,2020-05-09,586.2886899571149,0,Email рассылка,206.85565502144257
2663,15008,2020-06-07,553.4308913361215,1,Email рассылка,223.2845543319393
589,12934,2020-02-04,606.6467551066077,1,ТВ,1966.7662244669618
696,13041,2020-02-11,610.1778245150433,0,Поиск,38.982217548495676
2373,14718,2020-05-21,584.4450446257922,1,Контекстная реклама,706.4434241361533
1053,13398,2020-03-03,601.349046084405,0,Контекстная реклама,677.7066216565114
400,12745,2020-01-24,622.5407561847268,0,Контекстная реклама,641.6807144859645
3673,16018,2020-08-07,546.8778886888966,0,Email рассылка,226.56105565555168
3484,15829,2020-07-27,562.2334674950489,1,Email рассылка,218.88326625247555
160,12505,2020-01-10,588.209619123239,0,ТВ,2058.9519043838045
2830,15175,2020-06-17,579.606678503123,0,Поиск,42.039332149687695
3657,16002,2020-08-06,554.0671695862341,0,Контекстная реклама,758.0858117034021
198,12543,2020-01-12,589.088496365322,0,Контекстная реклама,698.5495561789526
424,12769,2020-01-25,583.5257234992475,0,Контекстная реклама,708.0062700512792
3658,16003,2020-08-06,580.0125645299241,0,Email рассылка,209.99371773503793
535,12880,2020-02-01,586.3981050338159,0,Email рассылка,206.80094748309205
3797,16142,2020-08-14,561.2976253399797,0,ТВ,2193.511873300102
3361,15706,2020-07-20,590.143486085542,0,Поиск,40.98565139144579
1278,13623,2020-03-16,580.4956671452005,1,Контекстная реклама,713.1573658531591
2668,15013,2020-06-07,578.0003844592854,1,Контекстная реклама,717.3993464192147
1527,13872,2020-03-31,615.5339832410485,1,Контекстная реклама,653.5922284902175
3586,15931,2020-08-02,554.0045023856089,0,Email рассылка,222.99774880719553
3674,16019,2020-08-07,540.0691384312572,0,Email рассылка,229.9654307843714
1812,14157,2020-04-18,572.0329704268805,0,ТВ,2139.8351478655973
393,12738,2020-01-23,625.1908014463719,0,Поиск,37.480919855362814
2504,14849,2020-05-29,579.6786411770811,0,Контекстная реклама,714.546309998962
3069,15414,2020-07-01,570.4015380150369,0,Контекстная реклама,730.3173853744373
718,13063,2020-02-12,591.0176862815981,0,Контекстная реклама,695.2699333212831
1340,13685,2020-03-20,577.8978336048232,0,Email рассылка,211.0510831975884
3086,15431,2020-07-03,550.3686578225404,0,Email рассылка,224.81567108872983
606,12951,2020-02-05,625.0561970598108,1,ТВ,1874.7190147009462
1203,13548,2020-03-11,580.2474031165232,0,Поиск,41.97525968834769
3476,15821,2020-07-26,551.4500299971387,0,Контекстная реклама,762.5349490048642
3565,15910,2020-08-01,571.5038317037206,0,Контекстная реклама,728.4434861036749
3740,16085,2020-08-11,569.0681923928869,0,Контекстная реклама,732.5840729320922
648,12993,2020-02-08,601.900661071722,0,Email рассылка,199.04966946413901
2918,15263,2020-06-22,595.3520853742029,0,Email рассылка,202.32395731289853
666,13011,2020-02-09,576.5743960848462,0,ТВ,2117.128019575769
194,12539,2020-01-12,626.5731996790732,0,Поиск,37.34268003209267
1745,14090,2020-04-14,584.3686660845428,1,Контекстная реклама,706.573267656277
1758,14103,2020-04-14,590.0013660863783,1,Контекстная реклама,696.997677653157
1587,13932,2020-04-04,600.3302311291745,1,Контекстная реклама,679.4386070804032
3623,15968,2020-08-04,544.0506553658447,0,Email рассылка,227.97467231707762
2367,14712,2020-05-21,587.5534565515053,0,Email рассылка,206.22327172424735
1834,14179,2020-04-19,603.3566462713653,0,ТВ,1983.2167686431735
1791,14136,2020-04-16,602.3165507034497,0,Поиск,39.76834492965503
726,13071,2020-02-13,578.8231121489507,0,Контекстная реклама,716.0007093467837
2730,15075,2020-06-11,598.6105926413727,1,Контекстная реклама,682.3619925096664
2860,15205,2020-06-19,558.3613458711982,1,Контекстная реклама,750.7857120189632
1306,13651,2020-03-18,604.5290119948141,0,Email рассылка,197.73549400259293
3267,15612,2020-07-14,561.5455528531986,1,Email рассылка,219.22722357340066
1198,13543,2020-03-11,585.9078520244166,0,ТВ,2070.460739877917
934,13279,2020-02-25,613.6722423767369,0,Поиск,38.63277576232632
2141,14486,2020-05-07,601.2017488890795,0,Контекстная реклама,677.9570268885648
1613,13958,2020-04-06,599.0057424801435,0,Контекстная реклама,681.6902377837562
858,13203,2020-02-21,617.8050932814349,0,Контекстная реклама,649.7313414215606
972,13317,2020-02-27,596.6449824316257,0,Email рассылка,201.67750878418715
1518,13863,2020-03-31,613.383876958349,1,Email рассылка,193.3080615208255
105,12450,2020-01-07,622.7743988922773,0,ТВ,1886.1280055386137
3285,15630,2020-07-15,587.4393630390551,0,Поиск,41.256063696094486
1425,13770,2020-03-25,600.2822959243861,0,Контекстная реклама,679.5200969285437
1308,13653,2020-03-18,599.3033499895423,0,Контекстная реклама,681.184305017778
2605,14950,2020-06-03,557.962701679405,1,Контекстная реклама,751.4634071450114
2598,14943,2020-06-03,586.2550704991102,1,Email рассылка,206.87246475044495
612,12957,2020-02-06,591.7230582252712,0,Email рассылка,204.13847088736438
1653,13998,2020-04-08,593.2866219120074,0,ТВ,2033.5668904399633
1621,13966,2020-04-06,588.5384630878441,0,Поиск,41.14615369121559
1623,13968,2020-04-06,598.5142023865662,0,Контекстная реклама,682.5258559428373
3097,15442,2020-07-03,559.0065320288011,1,Контекстная реклама,749.6888955510382
1675,14020,2020-04-10,602.183932608518,0,Контекстная реклама,676.2873145655192
2848,15193,2020-06-18,599.8036455262288,1,Email рассылка,200.09817723688562
1010,13355,2020-02-29,614.5607192799694,1,Email рассылка,192.7196403600153
738,13083,2020-02-13,575.5734639254736,0,ТВ,2122.1326803726324
187,12532,2020-01-11,630.8371994931449,0,Поиск,36.91628005068551
1794,14139,2020-04-17,605.7478453436852,1,Контекстная реклама,670.2286629157352
2861,15206,2020-06-19,561.4898625162799,0,Контекстная реклама,745.4672337223242
1353,13698,2020-03-21,571.6218321998247,0,Контекстная реклама,728.2428852602981
1100,13445,2020-03-05,592.9255625450194,1,Email рассылка,203.5372187274903
1495,13840,2020-03-29,574.4564511440688,0,Email рассылка,212.7717744279656
77,12422,2020-01-05,609.5311647819813,0,ТВ,1952.3441760900937
3644,15989,2020-08-05,583.0596796954358,1,Поиск,41.69403203045643
1287,13632,2020-03-17,603.5602327404424,1,Контекстная реклама,673.9476043412478
3677,16022,2020-08-07,574.083518141789,0,Контекстная реклама,724.0580191589587
3491,15836,2020-07-27,568.5187006691102,0,Контекстная реклама,733.5182088625127
246,12591,2020-01-15,616.0506593306432,0,Email рассылка,191.97467033467842
1084,13429,2020-03-04,586.9143824491962,0,Email рассылка,206.54280877540188
2804,15149,2020-06-16,564.6591201426031,0,ТВ,2176.704399286985
61,12406,2020-01-04,588.8933630481741,0,Поиск,41.11066369518259
3765,16110,2020-08-13,557.3400307276407,1,Контекстная реклама,752.5219477630108
493,12838,2020-01-30,601.3443490336723,0,Контекстная реклама,677.7146066427571
378,12723,2020-01-22,620.1718518171164,0,Контекстная реклама,645.7078519109021
2809,15154,2020-06-16,590.8297406493889,0,Email рассылка,204.58512967530555
236,12581,2020-01-14,599.7656715124249,0,Email рассылка,200.11716424378758
1462,13807,2020-03-27,595.0647213806467,1,ТВ,2024.6763930967663
2628,14973,2020-06-05,565.8115985856803,1,Поиск,43.41884014143197
1242,13587,2020-03-14,614.2283195926916,1,Контекстная реклама,655.8118566924243
3772,16117,2020-08-13,571.860561998736,0,Контекстная реклама,727.8370446021488
3516,15861,2020-07-29,550.3176841375092,1,Контекстная реклама,764.4599369662343
2321,14666,2020-05-18,571.5784713951318,0,Email рассылка,214.21076430243406
3558,15903,2020-07-31,546.2050370507923,0,Email рассылка,226.89748147460386
3605,15950,2020-08-03,548.0824763126726,0,ТВ,2259.587618436637
335,12680,2020-01-20,591.8977398075195,0,Поиск,40.81022601924805
1797,14142,2020-04-17,577.9281064033306,1,Контекстная реклама,717.522219114338
2357,14702,2020-05-20,592.0194864690261,0,Контекстная реклама,693.5668730026556
151,12496,2020-01-09,603.39820662649,0,Контекстная реклама,674.2230487349669
